date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,1020.1,1021.0,1019.4,1019.4,126,85,1020.03
2023-12-29 01:15:00+00:00,1019.4,1020.6,1019.0,1020.6,98,84,1019.7
2023-12-29 01:30:00+00:00,1020.4,1020.4,1018.6,1018.6,68,54,1019.76
2023-12-29 01:45:00+00:00,1018.7,1019.8,1018.7,1019.2,33,25,1019.14
2023-12-29 02:00:00+00:00,1019.3,1019.4,1018.4,1019.3,93,72,1018.86
2023-12-29 02:15:00+00:00,1019.4,1021.6,1019.4,1021.3,46,42,1020.51
2023-12-29 02:30:00+00:00,1021.4,1023.9,1021.4,1023.6,76,55,1022.87
2023-12-29 02:45:00+00:00,1023.3,1023.6,1022.4,1022.8,17,16,1023.17
2023-12-29 03:00:00+00:00,1022.6,1022.9,1022.2,1022.2,21,17,1022.57
2023-12-29 03:15:00+00:00,1022.3,1023.1,1022.2,1022.9,10,10,1022.71
2023-12-29 03:30:00+00:00,1022.6,1022.6,1021.7,1021.9,51,40,1022.11
2023-12-29 03:45:00+00:00,1022.3,1023.0,1022.3,1022.8,69,51,1022.75
2023-12-29 04:00:00+00:00,1022.8,1024.3,1022.6,1023.7,109,78,1023.58
2023-12-29 04:15:00+00:00,1024.0,1024.0,1022.5,1023.3,33,21,1023.24
2023-12-29 04:30:00+00:00,1023.5,1023.9,1023.5,1023.7,15,13,1023.76
2023-12-29 04:45:00+00:00,1023.6,1023.6,1022.4,1022.5,25,21,1022.98
2023-12-29 05:00:00+00:00,1022.8,1024.0,1022.8,1023.2,36,25,1023.48
2023-12-29 05:15:00+00:00,1023.1,1023.1,1022.2,1022.5,11,11,1022.72
2023-12-29 05:30:00+00:00,1022.5,1023.0,1022.5,1023.0,15,15,1022.85
2023-12-29 05:45:00+00:00,1023.1,1024.1,1023.1,1023.9,27,16,1023.85
2023-12-29 06:00:00+00:00,1023.7,1024.0,1023.6,1023.9,24,17,1023.78
2023-12-29 06:15:00+00:00,1023.8,1024.2,1023.7,1024.0,35,24,1023.91
2023-12-29 06:30:00+00:00,1024.0,1024.3,1023.7,1023.7,13,12,1024.06
2023-12-29 06:45:00+00:00,1023.8,1025.0,1023.3,1024.9,77,45,1024.32
2023-12-29 07:00:00+00:00,1025.0,1025.7,1024.6,1024.8,186,107,1025.04
2023-12-29 07:15:00+00:00,1025.1,1025.4,1024.0,1024.0,41,26,1024.62
2023-12-29 07:30:00+00:00,1024.3,1024.7,1023.9,1024.3,20,19,1024.2
2023-12-29 07:45:00+00:00,1024.6,1024.6,1024.2,1024.3,13,7,1024.34
