date,Open,High,Low,Close,Volume,Barcount,Average
2023-12-29 01:00:00+00:00,2.4931,2.4949,2.493,2.4949,9,9,2.49357682
2023-12-29 01:15:00+00:00,2.4953,2.496,2.4937,2.4937,40,27,2.49497086
2023-12-29 01:30:00+00:00,2.4926,2.4978,2.4926,2.496,21,17,2.49501995
2023-12-29 01:45:00+00:00,2.4949,2.4949,2.494,2.494,6,4,2.49443092
2023-12-29 02:00:00+00:00,2.493,2.4953,2.4914,2.4929,86,74,2.4935081
2023-12-29 02:15:00+00:00,2.4933,2.4939,2.4901,2.4929,20,18,2.49189808
2023-12-29 02:30:00+00:00,2.4929,2.4956,2.4929,2.4956,7,6,2.49409713
2023-12-29 02:45:00+00:00,2.493,2.4952,2.493,2.4952,3,3,2.4937928
2023-12-29 03:00:00+00:00,2.4956,2.4963,2.4924,2.4924,8,8,2.49415604
2023-12-29 03:15:00+00:00,2.493,2.4946,2.493,2.4933,10,9,2.49399896
2023-12-29 03:30:00+00:00,2.4927,2.4944,2.4916,2.4916,19,13,2.49340011
2023-12-29 03:45:00+00:00,2.4923,2.4937,2.4923,2.4937,3,3,2.49294852
2023-12-29 04:00:00+00:00,2.4946,2.4956,2.4931,2.4945,19,16,2.49430329
2023-12-29 04:15:00+00:00,2.4943,2.4943,2.4923,2.4923,7,7,2.49336084
2023-12-29 04:30:00+00:00,2.4913,2.4923,2.4889,2.489,24,24,2.49045495
2023-12-29 04:45:00+00:00,2.4891,2.4891,2.4852,2.4852,29,24,2.48708766
2023-12-29 05:00:00+00:00,2.4849,2.4868,2.4829,2.4863,52,48,2.48486897
2023-12-29 05:15:00+00:00,2.4868,2.4945,2.4805,2.4945,69,66,2.48497696
2023-12-29 05:30:00+00:00,2.49,2.4921,2.4898,2.4903,7,7,2.49056294
2023-12-29 05:45:00+00:00,2.4916,2.4916,2.4916,2.4916,1,1,2.49160357
2023-12-29 06:00:00+00:00,2.4914,2.493,2.4914,2.493,12,9,2.49254602
2023-12-29 06:15:00+00:00,2.4919,2.4951,2.4919,2.4943,23,22,2.49286998
2023-12-29 06:30:00+00:00,2.491,2.491,2.4886,2.4906,15,14,2.49001318
2023-12-29 06:45:00+00:00,2.4905,2.4933,2.4891,2.491,39,35,2.49043532
2023-12-29 07:00:00+00:00,2.4901,2.492,2.4873,2.49,74,61,2.48997391
2023-12-29 07:15:00+00:00,2.4901,2.4901,2.4887,2.4891,19,19,2.48929653
2023-12-29 07:30:00+00:00,2.4893,2.4893,2.4859,2.4869,30,26,2.48727418
2023-12-29 07:45:00+00:00,2.4866,2.4867,2.4837,2.4839,111,97,2.48515367
2023-12-29 08:00:00+00:00,2.4843,2.4887,2.4837,2.4887,35,34,2.48523221
2023-12-29 08:15:00+00:00,2.486,2.4885,2.486,2.4882,6,6,2.48740181
2023-12-29 08:30:00+00:00,2.4855,2.4879,2.4845,2.4878,65,59,2.48676369
2023-12-29 08:45:00+00:00,2.4881,2.4893,2.4828,2.4839,115,108,2.48556599
2023-12-29 09:00:00+00:00,2.484,2.4945,2.4832,2.4942,89,87,2.48982665
2023-12-29 09:15:00+00:00,2.4934,2.4942,2.4889,2.491,129,121,2.49171155
2023-12-29 09:30:00+00:00,2.4918,2.4999,2.4889,2.4955,86,80,2.49484324
2023-12-29 09:45:00+00:00,2.4958,2.5014,2.4958,2.4965,35,35,2.49844615
2023-12-29 10:00:00+00:00,2.4957,2.5043,2.4945,2.5035,50,47,2.49941805
2023-12-29 10:15:00+00:00,2.5014,2.503,2.4976,2.4976,37,34,2.49996781
2023-12-29 10:30:00+00:00,2.4962,2.5034,2.4945,2.5012,68,62,2.49753315
2023-12-29 10:45:00+00:00,2.5006,2.5015,2.496,2.4964,47,42,2.49783748
2023-12-29 11:00:00+00:00,2.4963,2.4968,2.4857,2.487,76,61,2.48921799
2023-12-29 11:15:00+00:00,2.4864,2.4883,2.4815,2.4851,38,34,2.48514385
2023-12-29 11:30:00+00:00,2.4843,2.4867,2.48,2.4852,88,86,2.48309206
2023-12-29 11:45:00+00:00,2.4845,2.4911,2.4824,2.4911,64,59,2.4856838
2023-12-29 12:00:00+00:00,2.4911,2.4923,2.4895,2.4895,41,36,2.49091636
2023-12-29 12:15:00+00:00,2.4899,2.4902,2.4854,2.4854,61,55,2.48843261
2023-12-29 12:30:00+00:00,2.4858,2.489,2.485,2.489,26,24,2.48731345
2023-12-29 12:45:00+00:00,2.4855,2.4911,2.4846,2.4875,50,42,2.48733309
2023-12-29 13:00:00+00:00,2.4858,2.4859,2.4796,2.4812,134,124,2.48212016
2023-12-29 13:15:00+00:00,2.4807,2.4852,2.4781,2.4791,181,159,2.48025489
